page_id,ruta,claims_relevantes,claims_verificados,claims_requieren_correccion,claims_historicos_conservados,fuentes_secundarias_justificadas,estado,fecha_consulta,correccion_pendiente,gate
discapacidad-del-desarrollo-en-ninos-y-jovenes,/es/datos/discapacidad-del-desarrollo-en-ninos-y-jovenes/,1,1,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
discapacidad-significativa,/es/datos/discapacidad-significativa/,1,1,0,0,0,EN_REVISIÓN,2026-09-21,Cambiar Año de los datos de «estimación mundial vigente» a 2021; conservar que OMS la mantiene vigente en 2026.,Claims respaldados; queda corrección de metadato/estructura antes de VERIFICADA.
discriminacion-percibida-en-la-vida-cotidiana,/es/datos/discriminacion-percibida-en-la-vida-cotidiana/,8,8,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
dislexia-del-desarrollo,/es/datos/dislexia-del-desarrollo/,5,5,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
edad-de-diagnostico,/es/datos/edad-de-diagnostico/,1,1,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
edad-del-diagnostico-de-autismo-documentado,/es/datos/edad-del-diagnostico-de-autismo-documentado/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
educacion-superior-y-discapacidad,/es/datos/educacion-superior-y-discapacidad/,2,2,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
educacion-y-autismo,/es/datos/educacion-y-autismo/,3,3,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
educacion-y-discapacidad-infantil,/es/datos/educacion-y-discapacidad-infantil/,5,5,0,0,0,EN_REVISIÓN,2026-09-21,Corregir «las cuatro cifras» por «las cinco cifras» en Población medida.,Claims respaldados; queda corrección de metadato/estructura antes de VERIFICADA.
empleo-y-autismo-australia,/es/datos/empleo-y-autismo-australia/,3,2,0,1,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
empleo-y-autismo,/es/datos/empleo-y-autismo/,3,3,0,0,3,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
empleo-y-discapacidad,/es/datos/empleo-y-discapacidad/,3,3,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
formacion-a-lo-largo-de-la-vida,/es/datos/formacion-a-lo-largo-de-la-vida/,2,2,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
graduados-autistas,/es/datos/graduados-autistas/,2,2,0,0,2,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
jovenes-fuera-del-empleo-la-educacion-y-la-formacion,/es/datos/jovenes-fuera-del-empleo-la-educacion-y-la-formacion/,2,2,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
necesidad-de-apoyo,/es/datos/necesidad-de-apoyo/,3,3,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
ninos-con-discapacidad,/es/datos/ninos-con-discapacidad/,2,2,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
participacion-laboral-y-discapacidad,/es/datos/participacion-laboral-y-discapacidad/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
pobreza-y-exclusion-social,/es/datos/pobreza-y-exclusion-social/,8,8,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
por-que-faltan-datos-comparables-sobre-desarrollo,/es/datos/por-que-faltan-datos-comparables-sobre-desarrollo/,0,0,0,0,0,VERIFICADA,2026-09-21,,Sin claim cuantitativo relevante que cambie el significado; tesis metodológica y fuentes revisadas.
revelar-el-diagnostico-y-pedir-ajustes-en-el-trabajo,/es/datos/revelar-el-diagnostico-y-pedir-ajustes-en-el-trabajo/,3,3,0,0,3,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
salud-general-y-mental,/es/datos/salud-general-y-mental/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
sindrome-de-tourette-prevalencia-estimada-e-identificacion,/es/datos/sindrome-de-tourette-prevalencia-estimada-e-identificacion/,3,3,0,0,1,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
tdah-en-adultos,/es/datos/tdah-en-adultos/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
tdah-en-ninos-y-adolescentes,/es/datos/tdah-en-ninos-y-adolescentes/,5,5,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
tdah-infantil,/es/datos/tdah-infantil/,7,7,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
tecnologia-y-productos-de-apoyo,/es/datos/tecnologia-y-productos-de-apoyo/,4,4,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
toc,/es/datos/toc/,5,5,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
trastorno-del-desarrollo-de-la-coordinacion,/es/datos/trastorno-del-desarrollo-de-la-coordinacion/,7,7,0,0,0,VERIFICADA,2026-09-21,,Todos los claims relevantes superan el gate.
trastorno-del-desarrollo-del-lenguaje-un-estudio-poblacional-de-referencia,/es/datos/trastorno-del-desarrollo-del-lenguaje-un-estudio-poblacional-de-referencia/,1,0,0,1,0,HISTÓRICA,2026-09-21,,Todos los claims relevantes superan el gate.
trastornos-de-ansiedad,/es/datos/trastornos-de-ansiedad/,4,3,1,0,3,EN_REVISIÓN,2026-09-21,Añadir la fuente OMS · Mental disorders para respaldar los 72 millones de niños y adolescentes.,Al menos un claim requiere changeset.
