claim_id,page_id,texto_publicado,valor,unidad,tipo_de_medida,poblacion,territorio,periodo_de_datos,periodo_de_recogida,fecha_publicacion,metodo,fuente,fuente_primaria,url_doi,intervalo_incertidumbre,coincidencia_fuente_web,limitacion,comparability,atomicidad,derivado,formula_op,numerador,denominador,formula,redondeo,tolerancia,decision,correccion_propuesta,fecha_consulta
autismo-en-la-poblacion-c02,autismo-en-la-poblacion,En 2018 se estimaron 205.200 personas autistas.,205200,personas,conteo absoluto de encuesta,personas de todas las edades,Australia,2018,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,"SDAC, comparación publicada en edición 2022",Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Dato histórico de la misma serie.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,HISTORICO_CONSERVAR,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c02b,autismo-en-la-poblacion,"En 2018 se estimó una prevalencia de 0,8 %.",0.8,porcentaje,prevalencia observada en encuesta,personas de todas las edades,Australia,2018,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,"SDAC, comparación publicada en edición 2022",Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Dato histórico de la misma serie.,NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,HISTORICO_CONSERVAR,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c03,autismo-en-la-poblacion,"La estimación 2022 aumentó 41,8 % respecto de 2018.",41.8,porcentaje de cambio,cambio entre periodos,personas autistas estimadas en SDAC,Australia,2018→2022,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,comparación entre rondas SDAC,Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,Cambio entre encuestas; no demuestra cambio causal de prevalencia real.,DIRECTA,ATOMICO,SI,PERCENT_CHANGE,290900,205200,(290900-205200)/205200*100,DECIMALS_1,1e-9,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c04,autismo-en-la-poblacion,"1,6 % en varones.",1.6,porcentaje,prevalencia observada en encuesta,varones,Australia,2022,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,SDAC 2022,Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Encuesta poblacional; depende de definición y respuesta SDAC.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c05,autismo-en-la-poblacion,"0,7 % en mujeres.",0.7,porcentaje,prevalencia observada en encuesta,mujeres,Australia,2022,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,SDAC 2022,Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Encuesta poblacional; depende de definición y respuesta SDAC.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c06,autismo-en-la-poblacion,"3,1 % en menores de 25 años.",3.1,porcentaje,prevalencia observada en encuesta,menores de 25 años,Australia,2022,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,SDAC 2022,Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Encuesta poblacional; depende de definición y respuesta SDAC.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-la-poblacion-c07,autismo-en-la-poblacion,"0,3 % en 25 años o más.",0.3,porcentaje,prevalencia observada en encuesta,25 años o más,Australia,2022,NO_ESPECIFICADO_SEPARADAMENTE,2024-10-11,SDAC 2022,Australian Bureau of Statistics,SI,https://www.abs.gov.au/articles/autism-australia-2022,NO_APLICA,SI,Encuesta poblacional; depende de definición y respuesta SDAC.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-ninos-y-jovenes-c01,autismo-en-ninos-y-jovenes,"2,0 % de niños y jóvenes de 1 a 17 años tenía diagnóstico declarado de autismo.",2.0,porcentaje,diagnóstico declarado,1–17 años,Canadá,2019,NO_ESPECIFICADO_SEPARADAMENTE,2022-03-09,Canadian Health Survey on Children and Youth,Public Health Agency of Canada,SI,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/autism-spectrum-disorder-canadian-health-survey-children-youth-2019.html,NO_APLICA,SI,"Diagnóstico declarado en encuesta, no prevalencia modelizada.",NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-ninos-y-jovenes-c01b,autismo-en-ninos-y-jovenes,Representación equivalente publicada: aproximadamente 1 de cada 50.,50,"N en ""1 de cada N""",conversión equivalente,1–17 años,Canadá,2019,NO_ESPECIFICADO_SEPARADAMENTE,2022-03-09,Canadian Health Survey on Children and Youth,Public Health Agency of Canada,SI,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/autism-spectrum-disorder-canadian-health-survey-children-youth-2019.html,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,"Diagnóstico declarado en encuesta, no prevalencia modelizada.",NO_APLICA,ATOMICO,SI,ONE_IN_N_FROM_PERCENT,2.0,100,100/2.0,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-ninos-y-jovenes-c02,autismo-en-ninos-y-jovenes,"En varones, 3,1 % tenía diagnóstico declarado de autismo.",3.1,porcentaje,diagnóstico declarado,varones 1–17 años,Canadá,2019,NO_ESPECIFICADO_SEPARADAMENTE,2022-03-09,CHSCY 2019,Public Health Agency of Canada,SI,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/autism-spectrum-disorder-canadian-health-survey-children-youth-2019.html,NO_APLICA,SI,Diagnóstico declarado.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-ninos-y-jovenes-c02b,autismo-en-ninos-y-jovenes,Representación equivalente publicada: aproximadamente 1 de cada 32.,32,"N en ""1 de cada N""",conversión equivalente,varones 1–17 años,Canadá,2019,NO_ESPECIFICADO_SEPARADAMENTE,2022-03-09,CHSCY 2019,Public Health Agency of Canada,SI,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/autism-spectrum-disorder-canadian-health-survey-children-youth-2019.html,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,Diagnóstico declarado.,DIRECTA,ATOMICO,SI,ONE_IN_N_FROM_PERCENT,3.1,100,100/3.1,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-ninos-y-jovenes-c03,autismo-en-ninos-y-jovenes,"En mujeres, 0,8 % tenía diagnóstico declarado de autismo.",0.8,porcentaje,diagnóstico declarado,mujeres 1–17 años,Canadá,2019,NO_ESPECIFICADO_SEPARADAMENTE,2022-03-09,CHSCY 2019,Public Health Agency of Canada,SI,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/autism-spectrum-disorder-canadian-health-survey-children-youth-2019.html,NO_APLICA,SI,Diagnóstico declarado.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-ninos-y-jovenes-c03b,autismo-en-ninos-y-jovenes,Representación equivalente publicada: aproximadamente 1 de cada 125.,125,"N en ""1 de cada N""",conversión equivalente,mujeres 1–17 años,Canadá,2019,NO_ESPECIFICADO_SEPARADAMENTE,2022-03-09,CHSCY 2019,Public Health Agency of Canada,SI,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/autism-spectrum-disorder-canadian-health-survey-children-youth-2019.html,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,Diagnóstico declarado.,DIRECTA,ATOMICO,SI,ONE_IN_N_FROM_PERCENT,0.8,100,100/0.8,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-en-ninos-y-jovenes-c04,autismo-en-ninos-y-jovenes,"La identificación fue aproximadamente 3,9 veces mayor en varones.",3.9,razón,razón,varones vs mujeres 1–17 años,Canadá,2019,NO_ESPECIFICADO_SEPARADAMENTE,2022-03-09,cálculo mostrado en ficha a partir de CHSCY,Public Health Agency of Canada,SI,https://www.canada.ca/en/public-health/services/publications/diseases-conditions/autism-spectrum-disorder-canadian-health-survey-children-youth-2019.html,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,"Redondeo de 3,1/0,8.",DIRECTA,ATOMICO,SI,RATIO,3.1,0.8,3.1/0.8,DECIMALS_1,1e-9,VERIFICADO,NO_APLICA,2026-09-21
autismo-identificado-en-ninos-de-8-anos-c01,autismo-identificado-en-ninos-de-8-anos,"32,2 por 1.000 niños de 8 años fueron identificados con autismo.",32.2,por 1.000,identificación administrativa / vigilancia de registros,"niños de 8 años, 16 sitios ADDM",Estados Unidos,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,vigilancia ADDM de registros,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,SI,No es estimación nacional ni prevalencia modelizada.,NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-identificado-en-ninos-de-8-anos-c01b,autismo-identificado-en-ninos-de-8-anos,"Representación equivalente publicada: 3,22 %.",3.22,porcentaje,conversión equivalente,"niños de 8 años, 16 sitios ADDM",Estados Unidos,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,vigilancia ADDM de registros,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,No es estimación nacional ni prevalencia modelizada.,NO_APLICA,ATOMICO,SI,PERCENT_FROM_RATE_1000,32.2,1000,32.2/10,DECIMALS_2,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-identificado-en-ninos-de-8-anos-c01c,autismo-identificado-en-ninos-de-8-anos,Representación equivalente publicada: aproximadamente 1 de cada 31.,31,"N en ""1 de cada N""",conversión equivalente,"niños de 8 años, 16 sitios ADDM",Estados Unidos,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,vigilancia ADDM de registros,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,No es estimación nacional ni prevalencia modelizada.,NO_APLICA,ATOMICO,SI,ONE_IN_N_FROM_RATE_1000,32.2,1000,1000/32.2,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-identificado-en-ninos-de-8-anos-c02,autismo-identificado-en-ninos-de-8-anos,"Laredo, Texas: 9,7 por 1.000.",9.7,por 1.000,identificación administrativa,niños de 8 años en sitio ADDM Laredo,Estados Unidos,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,ADDM,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,SI,Un sitio; no extrapolar a todo EE. UU.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-identificado-en-ninos-de-8-anos-c02b,autismo-identificado-en-ninos-de-8-anos,Representación equivalente publicada: aproximadamente 1 de cada 103.,103,"N en ""1 de cada N""",conversión equivalente,niños de 8 años en sitio ADDM Laredo,Estados Unidos,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,ADDM,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,Un sitio; no extrapolar a todo EE. UU.,DIRECTA,ATOMICO,SI,ONE_IN_N_FROM_RATE_1000,9.7,1000,1000/9.7,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-identificado-en-ninos-de-8-anos-c03,autismo-identificado-en-ninos-de-8-anos,"California: 53,1 por 1.000.",53.1,por 1.000,identificación administrativa,niños de 8 años en sitio ADDM California,Estados Unidos,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,ADDM,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,SI,Un sitio; no extrapolar a todo EE. UU.,DIRECTA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-identificado-en-ninos-de-8-anos-c03b,autismo-identificado-en-ninos-de-8-anos,Representación equivalente publicada: aproximadamente 1 de cada 19.,19,"N en ""1 de cada N""",conversión equivalente,niños de 8 años en sitio ADDM California,Estados Unidos,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,ADDM,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,DERIVADO_DE_VALORES_FUENTE,Un sitio; no extrapolar a todo EE. UU.,DIRECTA,ATOMICO,SI,ONE_IN_N_FROM_RATE_1000,53.1,1000,1000/53.1,NEAREST_INTEGER,0.000000001,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-discapacidad-intelectual-en-addm-c01,autismo-y-discapacidad-intelectual-en-addm,"39,6 % tenía discapacidad intelectual entre quienes tenían datos cognitivos disponibles.",39.6,porcentaje,porcentaje,niños de 8 años con ASD y datos cognitivos,Estados Unidos / ADDM,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,vigilancia ADDM,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,SI,Denominador restringido a quienes tenían información cognitiva.,NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-discapacidad-intelectual-en-addm-c02,autismo-y-discapacidad-intelectual-en-addm,"Había datos cognitivos disponibles para 61,4 %.",61.4,porcentaje,porcentaje de cobertura de dato,niños de 8 años con ASD,Estados Unidos / ADDM,2022,NO_ESPECIFICADO_SEPARADAMENTE,2025,vigilancia ADDM,CDC MMWR,SI,https://www.cdc.gov/mmwr/volumes/74/ss/ss7402a1.htm,NO_APLICA,SI,"Cobertura de datos, no prevalencia de discapacidad intelectual.",NO_APLICA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-salud-mental-coexistencia-no-equivalencia-c01,autismo-y-salud-mental-coexistencia-no-equivalencia,Prevalencia agrupada de TDAH: 28 %.,28,porcentaje,prevalencia observada agrupada,personas autistas incluidas en metaanálisis,Internacional,estudios incluidos hasta 2019,NO_ESPECIFICADO_SEPARADAMENTE,2019-10,revisión sistemática y metaanálisis,Lai et al. 2019,SI,https://pubmed.ncbi.nlm.nih.gov/31447415/,IC95% 25–32,SI,Gran heterogeneidad; no equivale a una tasa individual o universal.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-salud-mental-coexistencia-no-equivalencia-c02,autismo-y-salud-mental-coexistencia-no-equivalencia,Prevalencia agrupada de trastornos de ansiedad: 20 %.,20,porcentaje,prevalencia observada agrupada,personas autistas incluidas en metaanálisis,Internacional,estudios incluidos hasta 2019,NO_ESPECIFICADO_SEPARADAMENTE,2019-10,revisión sistemática y metaanálisis,Lai et al. 2019,SI,https://pubmed.ncbi.nlm.nih.gov/31447415/,IC95% 17–23,SI,Gran heterogeneidad; no equivale a una tasa individual o universal.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-salud-mental-coexistencia-no-equivalencia-c03,autismo-y-salud-mental-coexistencia-no-equivalencia,Prevalencia agrupada de trastornos sueño-vigilia: 13 %.,13,porcentaje,prevalencia observada agrupada,personas autistas incluidas en metaanálisis,Internacional,estudios incluidos hasta 2019,NO_ESPECIFICADO_SEPARADAMENTE,2019-10,revisión sistemática y metaanálisis,Lai et al. 2019,SI,https://pubmed.ncbi.nlm.nih.gov/31447415/,IC95% 9–17,SI,Gran heterogeneidad; no equivale a una tasa individual o universal.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-salud-mental-coexistencia-no-equivalencia-c04,autismo-y-salud-mental-coexistencia-no-equivalencia,Prevalencia agrupada de trastornos disruptivos/control de impulsos/conducta: 12 %.,12,porcentaje,prevalencia observada agrupada,personas autistas incluidas en metaanálisis,Internacional,estudios incluidos hasta 2019,NO_ESPECIFICADO_SEPARADAMENTE,2019-10,revisión sistemática y metaanálisis,Lai et al. 2019,SI,https://pubmed.ncbi.nlm.nih.gov/31447415/,IC95% 10–15,SI,Gran heterogeneidad; no equivale a una tasa individual o universal.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-salud-mental-coexistencia-no-equivalencia-c05,autismo-y-salud-mental-coexistencia-no-equivalencia,Prevalencia agrupada de trastornos depresivos: 11 %.,11,porcentaje,prevalencia observada agrupada,personas autistas incluidas en metaanálisis,Internacional,estudios incluidos hasta 2019,NO_ESPECIFICADO_SEPARADAMENTE,2019-10,revisión sistemática y metaanálisis,Lai et al. 2019,SI,https://pubmed.ncbi.nlm.nih.gov/31447415/,IC95% 9–13,SI,Gran heterogeneidad; no equivale a una tasa individual o universal.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
autismo-y-salud-mental-coexistencia-no-equivalencia-c06,autismo-y-salud-mental-coexistencia-no-equivalencia,Prevalencia agrupada de TOC: 9 %.,9,porcentaje,prevalencia observada agrupada,personas autistas incluidas en metaanálisis,Internacional,estudios incluidos hasta 2019,NO_ESPECIFICADO_SEPARADAMENTE,2019-10,revisión sistemática y metaanálisis,Lai et al. 2019,SI,https://pubmed.ncbi.nlm.nih.gov/31447415/,IC95% 7–10,SI,Gran heterogeneidad; no equivale a una tasa individual o universal.,LIMITADA,ATOMICO,NO,NO_APLICA,,,,NO_APLICA,NO_APLICA,VERIFICADO,NO_APLICA,2026-09-21
