id,nombre,organismo,jurisdiccion,nivel_jurisdiccion,categoria,url_oficial,tipo_recurso,fecha_consulta,situacion_actual,fecha_apertura,fecha_cierre,recurrente,proxima_convocatoria_conocida,proxima_revision,fuente_primaria,url_anterior,resultado_url,nueva_url_oficial,observaciones
ast-familia-numerosa,Título de familia numerosa de Asturias,Principado de Asturias,Asturias,comunidad autónoma,Familia,https://socialasturias.asturias.es/servicio-de-reconocimiento-y-orientaci%C3%B3n-a-familias-numerosas,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://socialasturias.asturias.es/servicio-de-reconocimiento-y-orientaci%C3%B3n-a-familias-numerosas,POR VERIFICAR,,"Base original: Reconocimiento, orientación y gestión del título de familia numerosa en el Principado. | Quién: Personas o familias residentes en Asturias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Título acreditativo y acceso a bonificaciones"
ast-salario-social,Salario Social Básico,Principado de Asturias,Asturias,comunidad autónoma,Ingresos y prestaciones,https://socialasturias.asturias.es/salario_social_basico1,prestación,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://socialasturias.asturias.es/salario_social_basico1,POR VERIFICAR,,"Base original: Prestación económica de garantía de ingresos para personas y unidades de convivencia que cumplen los requisitos de vulnerabilidad establecidos en Asturias. | Quién: Personas o familias residentes en Asturias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según unidad de convivencia e ingresos"
ast-complemento-vital,Complemento vital por dependencia o discapacidad,Principado de Asturias,Asturias,comunidad autónoma,Ingresos y prestaciones,https://socialasturias.asturias.es/complemento-vital-por-dependencia-o-discapacidad,prestación,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://socialasturias.asturias.es/complemento-vital-por-dependencia-o-discapacidad,POR VERIFICAR,,"Base original: Complemento económico autonómico vinculado a situaciones de dependencia o discapacidad y a los requisitos de protección social establecidos. | Quién: Personas o familias residentes en Asturias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente"
ast-alquiler,Ayudas directas al alquiler de vivienda,Principado de Asturias,Asturias,comunidad autónoma,Vivienda,https://socialasturias.asturias.es/ayudas-directas-al-alquiler-de-vivienda,convocatoria,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://socialasturias.asturias.es/ayudas-directas-al-alquiler-de-vivienda,POR VERIFICAR,,"Base original: Información sobre ayudas autonómicas para facilitar el pago del alquiler de la vivienda habitual conforme a las convocatorias aplicables. | Quién: Personas o familias residentes en Asturias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente"
ast-concilia-03,Ayuda Concilia 0 a 3 años 2026,Principado de Asturias,Asturias,comunidad autónoma,Conciliación y cuidados,https://miprincipado.asturias.es/ast/-/dboid-6269000114298348907573,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://miprincipado.asturias.es/ast/-/dboid-6269000114298348907573,POR VERIFICAR,,"Base original: Ayuda directa para familias sin plaza en la red pública de 0 a 3 años, destinada a facilitar la conciliación laboral y familiar. | Quién: Personas o familias residentes en Asturias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Hasta 1.500 € según la convocatoria 2026"
ast-concilia-cuidados,Ayuda 2026 para gastos de cuidado de menores hasta 12 años,Principado de Asturias,Asturias,comunidad autónoma,Conciliación y cuidados,https://miprincipado.asturias.es/ast/-/dboid-6269000407471531207573,subvención,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://miprincipado.asturias.es/ast/-/dboid-6269000407471531207573,POR VERIFICAR,,"Base original: Subvención para compensar determinados gastos de contratación de servicios de cuidado de menores con el fin de conciliar trabajo y familia. | Quién: Personas o familias residentes en Asturias que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente"
mallorca-ayudas-discapacidad-2026,Mallorca: ayudas económicas para personas con discapacidad 2026,Consell de Mallorca · IMAS,Illes Balears,comunidad autónoma,Discapacidad y dependencia,https://www.conselldemallorca.es/es/todas-las-noticias/-/asset_publisher/bqOupoVYvgPA/content/l-imas-inicia-la-tramitaci%C3%B3-de-560-sol%C2%B7licituds-d-ajudes-per-refor%C3%A7ar-el-benestar-de-les-persones-amb-discapacitat/695139,convocatoria,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.conselldemallorca.es/es/todas-las-noticias/-/asset_publisher/bqOupoVYvgPA/content/l-imas-inicia-la-tramitaci%C3%B3-de-560-sol%C2%B7licituds-d-ajudes-per-refor%C3%A7ar-el-benestar-de-les-persones-amb-discapacitat/695139,POR VERIFICAR,,"Base original: Convocatoria del IMAS destinada a reforzar el bienestar de personas con discapacidad y apoyar a las familias cuidadoras, incluyendo una línea de respiro familiar. | Quién: Personas con discapacidad residentes en Mallorca que cumplan los requisitos de la convocatoria del IMAS. | Documentos: Solicitud y documentación de discapacidad, residencia, unidad familiar y gasto o servicio subvencionable según las bases. | Nota: Debe revisarse cada concepto subvencionable para evitar financiar dos veces el mismo gasto. | Cuantía: Cuantía según gasto y convocatoria; presupuesto total de 600.000 €"
eivissa-prestaciones-discapacidad,Eivissa: prestaciones económicas para personas con discapacidad,Consell Insular d’Eivissa · Inclusión,Illes Balears,comunidad autónoma,Discapacidad y dependencia,https://idis.conselldeivissa.es/es/inclusion/perros-de-asistencia/,prestación,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://idis.conselldeivissa.es/es/inclusion/perros-de-asistencia/,POR VERIFICAR,,"Base original: Prestaciones económicas de concurrencia para afrontar tratamientos u otros gastos relacionados con limitaciones físicas, psíquicas o sensoriales y facilitar la vida diaria de personas con discapacidad con recursos insuficientes. | Quién: Personas residentes en Eivissa, normalmente menores de 65 años, con discapacidad reconocida igual o superior al 33 % o situaciones de incapacidad equiparadas, que cumplan los requisitos económicos de la convocatoria. | Documentos: Solicitud anual, acreditación de discapacidad o incapacidad, residencia, ingresos y presupuesto/factura del tratamiento, producto o gasto solicitado. | Nota: Se dirigen a necesidades que la persona no puede cubrir con recursos propios ni obtener de otras fuentes; debe evitarse la doble financiación del mismo concepto. | Cuantía: Cuantía según convocatoria anual, gasto y recursos económicos"
mallorca-ayudas-mayores-autonomia-2026,Mallorca: ayudas 2026 para autonomía de personas mayores,Consell de Mallorca · IMAS,Illes Balears,comunidad autónoma,Discapacidad y dependencia,https://www.conselldemallorca.es/es/noticias/-/asset_publisher/iy8KZd5OgJRk/content/el-consell-de-mallorca-convoca-ajudes-per-valor-de-375.000-euros-per-millorar-l-autonomia-de-la-gent-gran/695139,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.conselldemallorca.es/es/noticias/-/asset_publisher/iy8KZd5OgJRk/content/el-consell-de-mallorca-convoca-ajudes-per-valor-de-375.000-euros-per-millorar-l-autonomia-de-la-gent-gran/695139,POR VERIFICAR,,"Base original: Ayudas económicas individuales del IMAS para productos de apoyo técnico y movilidad que mejoren la recuperación física o sensorial, compensen limitaciones funcionales y faciliten la vida diaria. | Quién: Personas de 65 años o más empadronadas en Mallorca con al menos dos años de antigüedad y que cumplan el resto de requisitos de la convocatoria. | Documentos: Solicitud, identificación, empadronamiento, documentación económica y justificantes de los productos o gastos subvencionables adquiridos en el periodo previsto. | Nota: Debe revisarse si otra ayuda financia el mismo producto o gasto; no debe superarse su coste real. | Cuantía: Convocatoria dotada inicialmente con 275.000 €, ampliable hasta 375.000 €; cuantía individual según gasto subvencionable"
formentera-dependencia-pia,"Formentera: orientación, valoración y PIA de dependencia",Consell Insular de Formentera · Área de Dependencia,Illes Balears,comunidad autónoma,Discapacidad y dependencia,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,programa,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,POR VERIFICAR,,"Base original: El área de Dependencia informa, asesora y acompaña en el procedimiento de dependencia, participa en la valoración del grado y en la elaboración del Programa Individual de Atención. | Quién: Personas mayores dependientes y personas con discapacidad moderada, severa o gran dependencia, incluidas situaciones de discapacidad intelectual, psíquica o enfermedad mental con dependencia. | Documentos: Solicitud de dependencia y documentación de identidad, residencia e informes sanitarios/sociales requeridos para la valoración. | Nota: La compatibilidad de servicios y prestaciones se determina en el PIA y conforme al sistema balear y estatal de dependencia. | Cuantía: Servicios y prestaciones según grado de dependencia y Programa Individual de Atención"
menorca-ayudas-individuales-discapacidad,Menorca: ayudas individuales para necesidades sociosanitarias por discapacidad,Consell Insular de Menorca · Bienestar Social,Illes Balears,comunidad autónoma,Discapacidad y dependencia,https://oposicions.cime.es/GesServeis/Gestion.aspx?IDDEPARTAMENT=55&IDGESTION=990100885,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://oposicions.cime.es/GesServeis/Gestion.aspx?IDDEPARTAMENT=55&IDGESTION=990100885,POR VERIFICAR,,"Base original: El catálogo insular contempla ayudas económicas individuales para personas con discapacidad destinadas a cubrir necesidades sociosanitarias y productos o gastos vinculados a su autonomía. | Quién: Personas empadronadas en Menorca, normalmente menores de 65 años, con discapacidad reconocida igual o superior al 33 % o situaciones de incapacidad equiparadas, sujetas a límites de ingresos de la convocatoria. | Documentos: Solicitud, acreditación de discapacidad o incapacidad, empadronamiento, documentación económica y presupuesto/factura del gasto solicitado. | Nota: No debe existir doble financiación del mismo gasto; cada convocatoria concreta límites, gastos admitidos y relación con otras ayudas. | Cuantía: Cuantía según convocatoria específica y gasto subvencionable"
bal-dependencia,Derecho a prestaciones y servicios de dependencia,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Discapacidad y dependencia,https://www.caib.es/sites/dgdependencia/es/solicitud_reconocimiento_del_derecho_a_las_prestaciones_y_servicios_de_dependencia/,prestación,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/sites/dgdependencia/es/solicitud_reconocimiento_del_derecho_a_las_prestaciones_y_servicios_de_dependencia/,POR VERIFICAR,,"Base original: Procedimiento para reconocer el derecho a las prestaciones y servicios del sistema balear de dependencia y concretar la atención correspondiente. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Servicios o prestaciones según grado y PIA"
bal-discapacidad,Reconocimiento del grado de discapacidad en Illes Balears,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Discapacidad y dependencia,https://caib.es/sites/dgdependencia/es/listado_de_tramites_y_solicitudes-18589/,servicio,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://caib.es/sites/dgdependencia/es/listado_de_tramites_y_solicitudes-18589/,POR VERIFICAR,,"Base original: Acceso a los trámites autonómicos de valoración y reconocimiento del grado de discapacidad y a los servicios vinculados. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Reconocimiento administrativo; beneficios según grado y programa"
bal-alimentacion,Ayuda de alimentación si el instituto no tiene comedor,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Educación y comedor,https://apps.caib.es/sites/serveidecomunitateducativa/ca/ajuts_alimentacia_20262027/,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://apps.caib.es/sites/serveidecomunitateducativa/ca/ajuts_alimentacia_20262027/,POR VERIFICAR,,"Base original: Financia plato del día, comida o merienda saludable para alumnado de ESO y FP Básica en determinados centros públicos sin comedor. | Quién: Alumnado que cumpla las condiciones de la convocatoria y estudie en centro sin servicio de comedor. | Documentos: Solicitud y documentación familiar/económica. | Nota: Pensada como alternativa cuando no existe comedor escolar en el centro. | Cuantía: Según convocatoria"
bal-comedor,Ayudas de comedor 2026-2027,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Educación y comedor,https://www.caib.es/sites/serveidecomunitateducativa/ca/ajuts_menjador_26-27/,programa,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/sites/serveidecomunitateducativa/ca/ajuts_menjador_26-27/,POR VERIFICAR,,"Base original: Ayudas individualizadas de comedor para Infantil, Primaria, ESO, FP Básica y otros programas incluidos. | Quién: En 2026-2027 determinados colectivos, como familias monoparentales y alumnado con discapacidad ≥75 %, figuran como beneficiarios directos según la convocatoria. | Documentos: Solicitud y acreditación de situación familiar/económica. | Nota: Revisar si el centro tiene comedor o si corresponde la ayuda alternativa de alimentación. | Cuantía: Cobertura total o parcial según convocatoria"
bal-temprana,Servei d'Atenció Primerenca 0-6,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Terapias y atención temprana,https://www.caib.es/seucaib/ca/tramites/tramite/3755952,servicio,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/seucaib/ca/tramites/tramite/3755952,POR VERIFICAR,,Base original: Atención temprana para menores de 0 a 6 años y sus familias. | Quién: Menores con necesidad de atención temprana; el procedimiento puede iniciarse a petición de la familia o de oficio. | Documentos: Solicitud e informes necesarios para valoración. | Nota: Revisar financiación de tratamientos equivalentes por otras vías. | Cuantía: Servicio público
formentera-tarjeta-nado-multiple,Formentera: Tarjeta Nadó para partos o adopciones múltiples,Consell Insular de Formentera · Infancia y Familia,Illes Balears,comunidad autónoma,Familia,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,POR VERIFICAR,,"Base original: El área de Infancia y Familia incluye la Tarjeta Nadó entre sus recursos para familias en casos de parto o adopción múltiple. | Quién: Familias residentes que hayan tenido un parto múltiple o una adopción múltiple y reúnan las condiciones establecidas por el Consell. | Documentos: Identificación, empadronamiento y documentación que acredite el nacimiento o adopción múltiple, además de lo que solicite Servicios Sociales. | Nota: Debe comprobarse junto con las prestaciones estatales y autonómicas por nacimiento, adopción y familia numerosa; son vías diferentes. | Cuantía: Beneficio/ayuda familiar según condiciones vigentes del programa"
bal-familia-numerosa,Título de familia numerosa en Illes Balears,Govern de les Illes Balears · órganos insulares competentes,Illes Balears,comunidad autónoma,Familia,https://www.caib.es/sites/escolaritzaciocurs/es/familia_numerosa/,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/sites/escolaritzaciocurs/es/familia_numerosa/,POR VERIFICAR,,"Base original: Acreditación oficial de la condición y categoría de familia numerosa. En Illes Balears la gestión del título corresponde a los órganos insulares competentes según la isla. | Quién: Familias que cumplan los supuestos establecidos por la normativa de protección a las familias numerosas. | Documentos: Solicitud, identificación y documentación de la unidad familiar; según el supuesto pueden exigirse documentos de discapacidad, dependencia, estudios, custodia o ingresos. | Nota: El título tiene validez estatal y permite acceder a beneficios estatales, autonómicos, insulares y otros que reconozcan esta condición. | Cuantía: Título y tarjetas acreditativas; acceso a beneficios y bonificaciones"
formentera-emergencia-social,Formentera: bonos y ayudas de emergencia social,Consell Insular de Formentera · Servicios Sociales,Illes Balears,comunidad autónoma,Ingresos y prestaciones,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,prestación,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,POR VERIFICAR,,"Base original: Los Servicios Sociales de Atención Primaria tramitan bonos de emergencia social y la tarjeta básica para personas y familias que atraviesan una situación de necesidad. | Quién: Población residente que presente una necesidad social o económica y sea valorada por el equipo de Servicios Sociales. | Documentos: Identificación, situación familiar y económica y justificantes de la necesidad o gasto que solicite el equipo profesional. | Nota: Son prestaciones de carácter subsidiario y deben coordinarse con otras ayudas públicas para evitar financiar dos veces el mismo gasto. | Cuantía: Cuantía o cobertura según necesidad y valoración de Servicios Sociales"
bal-renta-social,Renta Social Garantizada de Illes Balears,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Ingresos y prestaciones,https://www.caib.es/seucaib/es/tramites/tramite/2615446,prestación,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/seucaib/es/tramites/tramite/2615446,POR VERIFICAR,,"Base original: Prestación periódica para personas y unidades de convivencia en vulnerabilidad económica que cumplen los requisitos autonómicos y, en los supuestos previstos, no tienen derecho al IMV. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según composición e ingresos de la unidad de convivencia"
mallorca-vivienda-discapacidad-2026,Mallorca: Plan de Acceso a la Vivienda para Personas con Discapacidad,Consell de Mallorca · IMAS,Illes Balears,comunidad autónoma,Vivienda,https://www.conselldemallorca.es/es/noticia1/-/asset_publisher/0kVpLMnZrHVi/content/el-consell-de-mallorca-impulsa-el-pla-d-acc%C3%A9s-a-l-habitatge-per-a-persones-amb-discapacitat-amb-137-places-noves-i-3-7-milions-d-euros-el-2026/695139,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.conselldemallorca.es/es/noticia1/-/asset_publisher/0kVpLMnZrHVi/content/el-consell-de-mallorca-impulsa-el-pla-d-acc%C3%A9s-a-l-habitatge-per-a-persones-amb-discapacitat-amb-137-places-noves-i-3-7-milions-d-euros-el-2026/695139,POR VERIFICAR,,"Base original: Plan insular para ampliar recursos residenciales y apoyos de vida independiente destinados a personas con discapacidad, con nuevas plazas durante 2026. | Quién: Personas con discapacidad que cumplan los criterios de acceso a los recursos residenciales o de apoyo del IMAS. | Documentos: La documentación depende del recurso concreto y puede incluir reconocimiento de discapacidad, valoración social y datos de residencia e ingresos. | Nota: La asignación de plaza o apoyo debe coordinarse con dependencia y otros recursos residenciales para evitar duplicidades. | Cuantía: 137 nuevas plazas previstas en 2026; inversión pública de 3,7 millones €"
bal-alquiler,Ayudas autonómicas a la vivienda y al alquiler,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Vivienda,https://www.caib.es/sites/dgha/ca/ajudes_a_lhabitatge/,convocatoria,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/sites/dgha/ca/ajudes_a_lhabitatge/,POR VERIFICAR,,"Base original: Portal oficial que reúne convocatorias y programas de ayuda relacionados con alquiler, vivienda y acceso residencial en las islas. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente"
formentera-tarjeta-aparcamiento,Formentera: tarjeta de estacionamiento para movilidad reducida,Consell Insular de Formentera · Servicios Sociales,Illes Balears,comunidad autónoma,Transporte,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,servicio,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,POR VERIFICAR,,"Base original: Los Servicios Sociales tramitan la tarjeta de estacionamiento para personas con movilidad reducida, que permite utilizar las plazas y condiciones reservadas conforme a la normativa. | Quién: Personas que reúnan los requisitos oficiales de movilidad reducida y residencia aplicables a la tarjeta. | Documentos: Solicitud, identificación y acreditación oficial de discapacidad/movilidad reducida, junto con la documentación requerida por el Consell. | Nota: Compatible con otras prestaciones de discapacidad y movilidad; no sustituye otras autorizaciones que puedan exigirse en zonas reguladas. | Cuantía: Tarjeta/acreditación; sin cuantía económica directa"
menorca-tjove-transporte,Menorca: tarjeta TJOVE y descuentos de familia numerosa,Consell Insular de Menorca · Transportes,Illes Balears,comunidad autónoma,Transporte,https://cime.es/GesServeis/Gestion.aspx?IDGESTION=4,POR CLASIFICAR,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://cime.es/GesServeis/Gestion.aspx?IDGESTION=4,POR VERIFICAR,,"Base original: Tarjeta de transporte para jóvenes y estudiantes que permite utilizar diferentes abonos insulares y aplicar las reducciones previstas para miembros de familia numerosa. | Quién: Menores de 22 años y estudiantes menores de 30 años que cursen estudios oficiales presenciales en Menorca fuera de su municipio de residencia, según las condiciones del título. | Documentos: Solicitud de tarjeta, identificación y, para estudiantes mayores, acreditación de matrícula; el descuento de familia numerosa exige título vigente. | Nota: Los descuentos de familia numerosa se aplican sobre los abonos admitidos en la tarjeta conforme a las reglas tarifarias vigentes. | Cuantía: Permite cargar abonos T21, T10 y T40 y aplicar los descuentos de familia numerosa que correspondan"
bal-transporte-escolar,Servicio de transporte escolar de Illes Balears,Govern de les Illes Balears,Illes Balears,comunidad autónoma,Transporte,https://www.caib.es/sites/direcciogeneraldetransports/ca/transport_escolar_te/,servicio,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/sites/direcciogeneraldetransports/ca/transport_escolar_te/,POR VERIFICAR,,"Base original: Información oficial sobre transporte escolar y su organización; el servicio se amplía en 2026-2027 a determinados estudios postobligatorios conforme a la normativa vigente. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Servicio gratuito en los supuestos reconocidos"
formentera-sad-teleasistencia,Formentera: ayuda a domicilio y teleasistencia,Consell Insular de Formentera · Servicios Sociales,Illes Balears,comunidad autónoma,Conciliación y cuidados,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,servicio,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.transparencia.conselldeformentera.cat/index.php?Itemid=190&id=133&lang=es&layout=blog&option=com_content&view=category,POR VERIFICAR,,"Base original: El Centro de Servicios Sociales ofrece Servicio de Ayuda a Domicilio (SAD) y teleasistencia para apoyar a personas que necesitan atención o supervisión en su vida diaria. | Quién: Personas residentes cuya situación de autonomía, dependencia, discapacidad, edad o necesidad social justifique el servicio tras valoración profesional. | Documentos: Solicitud o entrevista social, identificación y documentación sanitaria, social y económica que solicite el equipo profesional. | Nota: Puede coordinarse con dependencia y otros recursos de cuidados; el PIA y la normativa de cada servicio determinan intensidades y compatibilidades. | Cuantía: Servicio social; condiciones y posible aportación según valoración y normativa aplicable"
bal-conciliacion,"Ayudas para conciliación de la vida personal, laboral y familiar",Govern de les Illes Balears,Illes Balears,comunidad autónoma,Conciliación y cuidados,https://www.caib.es/seucaib/es/tramites/tramite/6516134,subvención,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://www.caib.es/seucaib/es/tramites/tramite/6516134,POR VERIFICAR,,"Base original: Subvenciones de conciliación para familias que cumplen las condiciones de la convocatoria, con consideración de situaciones como monoparentalidad, familia numerosa, tutela o acogimiento. | Quién: Personas o familias residentes en Illes Balears que cumplan los requisitos del procedimiento oficial. | Documentos: Solicitud, identificación y documentación de residencia, unidad familiar, ingresos o situación específica que exija el trámite. | Nota: Consultar la ficha oficial si se perciben otras ayudas para la misma finalidad. | Cuantía: Según requisitos, renta y convocatoria vigente"
eivissa-empleo-apoyo-discapacidad,Eivissa: orientación y empleo con apoyo para personas con discapacidad,Consell Insular d’Eivissa · SAIL-PD,Illes Balears,comunidad autónoma,Empleo,https://idis.conselldeivissa.es/es/inclusion/servicio-de-asesoramiento-e-insercion-laboral/,servicio,2026-09-20,POR VERIFICAR,,,POR VERIFICAR,,2026-09-27,POR VERIFICAR,https://idis.conselldeivissa.es/es/inclusion/servicio-de-asesoramiento-e-insercion-laboral/,POR VERIFICAR,,"Base original: Servicio SAIL-PD de orientación, formación, intermediación y empleo con apoyo para personas con discapacidad que necesitan acompañamiento para acceder y mantenerse en un puesto de trabajo. | Quién: Personas de 16 a 64 años con discapacidad igual o superior al 33 % o incapacidad laboral reconocida, con dificultades de inserción y voluntad de incorporarse al mercado laboral. | Documentos: Acreditación de discapacidad o incapacidad, identificación y datos necesarios para elaborar el itinerario de inserción. | Nota: Compatible en general con otras medidas de empleo y prestaciones, sujeto a las reglas de cada prestación económica que perciba la persona. | Cuantía: Servicio público de orientación y apoyo; sin cuantía económica directa"
