test,metric,presence,mode,row_label,column_label,count,n,status,notes
B,CONFUSION,WEB,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,ORIENTAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,ORIENTAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,TRANSICIÓN,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,TRANSICIÓN,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,TRANSICIÓN,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PAUSA,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PAUSA,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PAUSA,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PAUSA,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,CONFIRMAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,CONFIRMAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,CONFIRMAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,CONFIRMAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,COLOR,CONFIRMAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,WEB,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,WEB,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PRESENTE,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,ORIENTAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,ORIENTAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,TRANSICIÓN,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,TRANSICIÓN,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,TRANSICIÓN,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PAUSA,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PAUSA,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PAUSA,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PAUSA,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,CONFIRMAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,CONFIRMAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,CONFIRMAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,CONFIRMAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,WEB,MONO,CONFIRMAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PRESENTE,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,ORIENTAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,ORIENTAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,TRANSICIÓN,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,TRANSICIÓN,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,TRANSICIÓN,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PAUSA,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PAUSA,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PAUSA,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PAUSA,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,CONFIRMAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,CONFIRMAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,CONFIRMAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,CONFIRMAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,COLOR,CONFIRMAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,IA,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,IA,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PRESENTE,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,ORIENTAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,ORIENTAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,TRANSICIÓN,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,TRANSICIÓN,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,TRANSICIÓN,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PAUSA,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PAUSA,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PAUSA,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PAUSA,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,CONFIRMAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,CONFIRMAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,CONFIRMAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,CONFIRMAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,IA,MONO,CONFIRMAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PRESENTE,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,ORIENTAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,ORIENTAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,TRANSICIÓN,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,TRANSICIÓN,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,TRANSICIÓN,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PAUSA,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PAUSA,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PAUSA,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PAUSA,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,CONFIRMAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,CONFIRMAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,CONFIRMAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,CONFIRMAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,COLOR,CONFIRMAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,TRANSICIÓN,PAUSA,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,TRANSICIÓN,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,MOST_SIMILAR,EDUCA,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
A,PRACTICALLY_SAME,EDUCA,MONO,PAUSA,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PRESENTE,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PRESENTE,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PRESENTE,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PRESENTE,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,PRESENTE,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,ORIENTAR,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,ORIENTAR,ORIENTAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,ORIENTAR,TRANSICIÓN,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,ORIENTAR,PAUSA,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,ORIENTAR,CONFIRMAR,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,TRANSICIÓN,PRESENTE,,,PENDING_HUMAN_DATA,
B,CONFUSION,EDUCA,MONO,TRANSICIÓN,ORIENTAR,,,PENDING_HUMAN_DATA,
